,timestamp,len_word
,timestamp,S,P,R
138,2022-09-19 00:27:50.351,0,2,0
139,2022-09-19 00:27:50.360,0,2,0
140,2022-09-19 00:27:51.224,0,2,0
141,2022-09-19 00:27:51.224,1,0,0
142,2022-09-19 00:27:51.259,0,2,0
143,2022-09-19 00:27:51.259,2,0,0
144,2022-09-19 00:27:51.272,1,0,0
145,2022-09-19 00:27:52.254,0,3,0
146,2022-09-19 00:27:52.254,1,0,0
147,2022-09-19 00:27:52.315,3,0,0
148,2022-09-19 00:27:52.315,0,0,1
149,2022-09-19 00:27:52.315,0,3,0
150,2022-09-19 00:27:53.243,1,0,0
151,2022-09-19 00:27:53.243,0,5,0
152,2022-09-19 00:27:53.243,0,0,1
153,2022-09-19 00:27:53.414,1,0,0
154,2022-09-19 00:27:53.414,0,4,0
155,2022-09-19 00:36:30.412,0,0,1
156,2022-09-19 00:36:30.412,0,2,0
157,2022-09-19 00:36:30.530,0,0,2
158,2022-09-19 00:36:30.530,2,0,0
159,2022-09-19 00:36:30.530,0,1,0
160,2022-09-19 00:36:31.233,0,1,0
161,2022-09-19 00:36:31.260,0,2,0
162,2022-09-19 00:36:32.242,0,0,1
163,2022-09-19 00:36:32.271,0,1,0
164,2022-09-19 00:36:32.271,1,0,0
165,2022-09-19 00:36:32.293,0,1,0
166,2022-09-19 00:36:32.293,2,0,0
167,2022-09-19 00:36:32.343,0,0,1
168,2022-09-19 00:36:32.389,0,0,1
169,2022-09-19 00:36:32.389,0,2,0
170,2022-09-19 00:36:33.237,0,1,0
171,2022-09-19 00:36:33.237,1,0,0
172,2022-09-19 00:36:33.288,0,2,0
173,2022-09-19 00:36:33.307,1,0,0
174,2022-09-19 00:36:33.307,0,3,0
175,2022-09-19 00:36:33.356,1,0,0
176,2022-09-19 00:36:34.403,1,0,0
177,2022-09-19 00:36:34.403,0,2,0
178,2022-09-19 00:36:35.235,0,0,1
179,2022-09-19 00:36:35.235,2,0,0
180,2022-09-19 00:36:35.284,0,2,0
181,2022-09-19 00:36:35.284,1,0,0
182,2022-09-19 00:36:35.321,0,2,0
183,2022-09-19 00:36:35.385,2,0,0
184,2022-09-19 00:36:35.385,0,2,0
185,2022-09-19 00:36:35.401,2,0,0
186,2022-09-19 00:36:35.401,0,1,0
187,2022-09-19 00:36:35.472,0,0,1
188,2022-09-19 00:36:36.291,0,1,0
189,2022-09-19 00:36:36.291,1,0,0
190,2022-09-19 00:36:36.300,0,0,1
191,2022-09-19 00:36:36.349,2,0,0
192,2022-09-19 00:36:37.282,0,3,0
193,2022-09-19 00:36:37.308,0,1,0
194,2022-09-19 00:36:37.411,2,0,0
195,2022-09-19 00:36:37.411,0,3,0
196,2022-09-19 00:36:37.472,0,0,1
197,2022-09-19 00:36:37.472,1,0,0
198,2022-09-19 00:36:38.351,0,0,1
199,2022-09-19 00:36:38.351,1,0,0
200,2022-09-19 00:36:38.351,0,2,0
201,2022-09-19 00:36:39.260,4,0,0
202,2022-09-19 00:36:39.262,0,2,0
203,2022-09-19 00:36:39.262,0,0,1
204,2022-09-19 00:36:39.276,0,0,1
205,2022-09-19 00:36:39.276,1,0,0
206,2022-09-19 00:36:39.276,0,1,0
207,2022-09-19 00:36:39.325,0,2,0
208,2022-09-19 00:36:40.232,2,0,0
209,2022-09-19 00:36:40.232,0,1,0
210,2022-09-19 00:36:40.275,3,0,0
211,2022-09-19 00:36:40.275,0,6,0
212,2022-09-19 00:36:40.295,0,1,0
213,2022-09-19 00:36:40.308,1,0,0
214,2022-09-19 00:36:40.308,0,1,0
215,2022-09-19 00:36:40.320,0,4,0
216,2022-09-19 00:36:40.320,2,0,0
217,2022-09-19 00:36:40.867,0,1,0
218,2022-09-19 00:36:40.867,1,0,0
219,2022-09-19 00:36:41.249,0,1,0
220,2022-09-19 00:36:41.255,0,0,1
221,2022-09-19 00:36:41.255,0,1,0
222,2022-09-19 00:36:41.255,1,0,0
223,2022-09-19 00:36:41.279,0,0,1
224,2022-09-19 00:36:41.279,0,1,0
225,2022-09-19 00:36:42.299,2,0,0
226,2022-09-19 00:36:43.237,2,0,0
227,2022-09-19 00:36:43.237,0,1,0
228,2022-09-19 00:36:43.237,0,0,1
229,2022-09-19 00:36:43.253,0,0,1
230,2022-09-19 00:36:43.253,1,0,0
231,2022-09-19 00:36:43.253,0,3,0
232,2022-09-19 00:36:43.260,0,0,1
233,2022-09-19 00:36:43.260,0,4,0
234,2022-09-19 00:36:43.266,0,3,0
